Protein,Ligand,Best Run,Binding Energy (kcal/mol)
model_01_psef_protein,minocycline,21,-10.94
model_01_psef_protein,TCS-21311,10,-10.94
model_01_psef_protein,ITI214,74,-10.94
model_01_psef_protein,ST-2825,100,-10.93
model_01_psef_protein,lonafarnib,59,-10.93
model_01_psef_protein,LY393558,8,-10.93
model_01_psef_protein,UNC2025,38,-10.93
model_01_psef_protein,D-alpha-tocopheryl-succinate,32,-10.93
model_01_psef_protein,erdafitinib,41,-10.92
model_01_psef_protein,BQ-123,10,-10.92
model_01_psef_protein,DMP-777,39,-10.92
model_01_psef_protein,GSK2334470,36,-10.91
model_01_psef_protein,gambogic-acid,48,-10.91
model_01_psef_protein,NVP-ADW742,11,-10.91
model_01_psef_protein,pevonedistat,44,-10.91
model_01_psef_protein,carbetocin,10,-10.9
model_01_psef_protein,astemizole,80,-10.9
model_01_psef_protein,thiothixene,34,-10.9
model_01_psef_protein,edaglitazone,72,-10.9
model_01_psef_protein,AZD7986,84,-10.9
model_01_psef_protein,setmelanotide,33,-10.9
model_01_psef_protein,WYE-687,73,-10.9
model_01_psef_protein,S49076,30,-10.89
model_01_psef_protein,TAK-243,64,-10.89
model_01_psef_protein,RS-102221,52,-10.89
model_01_psef_protein,dronedarone,65,-10.89
model_01_psef_protein,COR-170,21,-10.88
model_01_psef_protein,abafungin,24,-10.88
model_01_psef_protein,TP-0903,98,-10.88
model_01_psef_protein,cefoperazone,48,-10.88
model_01_psef_protein,loperamide,14,-10.88
model_01_psef_protein,NVP-BEZ235,3,-10.88
model_01_psef_protein,C-021,47,-10.87
model_01_psef_protein,dasabuvir,35,-10.87
model_01_psef_protein,INX-08189,94,-10.87
model_01_psef_protein,GBR-13069,26,-10.87
model_01_psef_protein,citarinostat,94,-10.87
model_01_psef_protein,imatinib,27,-10.87
model_01_psef_protein,telmisartan,55,-10.87
model_01_psef_protein,DDR1-IN-1,18,-10.87
model_01_psef_protein,NVP-AEW541,24,-10.86
model_01_psef_protein,ZD-7155,45,-10.86
model_01_psef_protein,GSK503,58,-10.86
model_01_psef_protein,palosuran,30,-10.86
model_01_psef_protein,SR-33805,56,-10.86
model_01_psef_protein,linagliptin,74,-10.86
model_01_psef_protein,flavoxate,90,-10.85
model_01_psef_protein,TCS-2314,20,-10.85
model_01_psef_protein,ITX5061,82,-10.85
model_01_psef_protein,acetylspiramycin,15,-10.85
model_01_psef_protein,paliperidone,61,-10.84
model_01_psef_protein,dactinomycin,23,-10.84
model_01_psef_protein,NVP-TAE684,16,-10.83
model_01_psef_protein,filgotinib,42,-10.83
model_01_psef_protein,foropafant,87,-10.83
model_01_psef_protein,FR-139317,91,-10.83
model_01_psef_protein,edoxaban,64,-10.83
model_01_psef_protein,GBR-12935,60,-10.83
